n1,n2,A1,A2
0,0,0.000,0.000
0,1,0.096,0.288
0,2,0.123,0.617
0,3,0.134,0.938
0,4,0.138,1.241
0,5,0.139,1.528
0,6,0.138,1.797
0,7,0.137,2.051
0,8,0.135,2.290
0,9,0.132,2.515
0,10,0.130,2.727
0,11,0.127,2.928
0,12,0.125,3.119
0,13,0.122,3.299
0,14,0.120,3.470
0,15,0.117,3.633
0,16,0.115,3.788
0,17,0.112,3.935
0,18,0.110,4.076
0,19,0.108,4.210
0,20,0.106,4.339
0,21,0.104,4.461
0,22,0.102,4.579
0,23,0.100,4.692
0,24,0.098,4.800
0,25,0.096,4.904
0,26,0.094,5.004
0,27,0.093,5.100
0,28,0.091,5.192
0,29,0.090,5.281
0,30,0.088,5.367
0,31,0.086,5.449
0,32,0.085,5.529
0,33,0.084,5.606
0,34,0.082,5.680
0,35,0.081,5.752
0,36,0.080,5.822
0,37,0.079,5.889
0,38,0.077,5.954
0,39,0.076,6.018
0,40,0.075,6.079
0,41,0.074,6.138
0,42,0.073,6.196
0,43,0.072,6.252
0,44,0.071,6.306
0,45,0.070,6.359
0,46,0.069,6.410
0,47,0.068,6.460
0,48,0.067,6.508
0,49,0.066,6.555
1,0,0.288,0.096
1,1,0.370,0.370
1,2,0.402,0.670
1,3,0.414,0.966
1,4,0.417,1.250
1,5,0.415,1.521
1,6,0.410,1.777
1,7,0.404,2.020
1,8,0.397,2.250
1,9,0.390,2.468
1,10,0.382,2.674
1,11,0.374,2.869
1,12,0.367,3.055
1,13,0.359,3.231
1,14,0.352,3.398
1,15,0.344,3.558
1,16,0.337,3.710
1,17,0.330,3.856
1,18,0.324,3.994
1,19,0.317,4.127
1,20,0.311,4.254
1,21,0.305,4.376
1,22,0.299,4.492
1,23,0.294,4.604
1,24,0.288,4.712
1,25,0.283,4.815
1,26,0.278,4.914
1,27,0.273,5.010
1,28,0.269,5.102
1,29,0.264,5.191
1,30,0.259,5.276
1,31,0.255,5.359
1,32,0.251,5.439
1,33,0.247,5.516
1,34,0.243,5.590
1,35,0.239,5.662
1,36,0.236,5.732
1,37,0.232,5.800
1,38,0.229,5.865
1,39,0.225,5.929
1,40,0.222,5.990
1,41,0.219,6.050
1,42,0.216,6.108
1,43,0.213,6.164
1,44,0.210,6.219
1,45,0.207,6.272
1,46,0.204,6.324
1,47,0.201,6.374
1,48,0.199,6.423
1,49,0.196,6.471
2,0,0.617,0.123
2,1,0.670,0.402
2,2,0.690,0.690
2,3,0.694,0.972
2,4,0.691,1.244
2,5,0.684,1.504
2,6,0.673,1.751
2,7,0.662,1.985
2,8,0.649,2.208
2,9,0.637,2.419
2,10,0.624,2.620
2,11,0.611,2.810
2,12,0.598,2.991
2,13,0.586,3.164
2,14,0.574,3.329
2,15,0.562,3.485
2,16,0.551,3.635
2,17,0.540,3.778
2,18,0.529,3.915
2,19,0.519,4.046
2,20,0.509,4.172
2,21,0.499,4.293
2,22,0.490,4.408
2,23,0.481,4.519
2,24,0.472,4.626
2,25,0.464,4.729
2,26,0.455,4.828
2,27,0.448,4.923
2,28,0.440,5.015
2,29,0.432,5.103
2,30,0.425,5.189
2,31,0.418,5.271
2,32,0.412,5.351
2,33,0.405,5.428
2,34,0.399,5.503
2,35,0.393,5.575
2,36,0.387,5.645
2,37,0.381,5.713
2,38,0.375,5.779
2,39,0.370,5.842
2,40,0.364,5.904
2,41,0.359,5.964
2,42,0.354,6.023
2,43,0.349,6.079
2,44,0.345,6.134
2,45,0.340,6.188
2,46,0.335,6.240
2,47,0.331,6.291
2,48,0.327,6.340
2,49,0.323,6.388
3,0,0.938,0.134
3,1,0.966,0.414
3,2,0.972,0.694
3,3,0.968,0.968
3,4,0.957,1.230
3,5,0.943,1.481
3,6,0.926,1.721
3,7,0.909,1.948
3,8,0.891,2.164
3,9,0.873,2.370
3,10,0.855,2.566
3,11,0.838,2.752
3,12,0.820,2.930
3,13,0.803,3.099
3,14,0.787,3.261
3,15,0.771,3.415
3,16,0.756,3.562
3,17,0.741,3.704
3,18,0.726,3.839
3,19,0.712,3.969
3,20,0.699,4.093
3,21,0.686,4.212
3,22,0.673,4.327
3,23,0.661,4.437
3,24,0.649,4.543
3,25,0.638,4.645
3,26,0.627,4.744
3,27,0.616,4.839
3,28,0.605,4.930
3,29,0.595,5.019
3,30,0.586,5.104
3,31,0.576,5.186
3,32,0.567,5.266
3,33,0.558,5.343
3,34,0.550,5.418
3,35,0.541,5.490
3,36,0.533,5.561
3,37,0.525,5.629
3,38,0.518,5.694
3,39,0.510,5.758
3,40,0.503,5.821
3,41,0.496,5.881
3,42,0.489,5.939
3,43,0.482,5.996
3,44,0.476,6.052
3,45,0.470,6.106
3,46,0.464,6.158
3,47,0.458,6.209
3,48,0.452,6.259
3,49,0.446,6.307
4,0,1.241,0.138
